page_size,tlb_size,pm_size_mb,bench,impl,tlb_accesses,tlb_misses,tlb_miss_rate,exit
4096,32,64,test,custom,NA,NA,NA,0
4096,32,64,test,baseline,NA,NA,NA,0
4096,32,64,multi,custom,NA,NA,NA,0
4096,32,64,multi,baseline,NA,NA,NA,0
4096,32,64,tlb_bench,custom,188540,899,0.48,0
4096,32,64,tlb_bench,baseline,0,0,0.00,0
4096,16,64,test,custom,NA,NA,NA,0
4096,16,64,test,baseline,NA,NA,NA,0
4096,16,64,multi,custom,NA,NA,NA,0
4096,16,64,multi,baseline,NA,NA,NA,0
4096,16,64,tlb_bench,custom,188540,899,0.48,0
4096,16,64,tlb_bench,baseline,0,0,0.00,0
4096,8,64,test,custom,NA,NA,NA,0
4096,8,64,test,baseline,NA,NA,NA,0
4096,8,64,multi,custom,NA,NA,NA,0
4096,8,64,multi,baseline,NA,NA,NA,0
4096,8,64,tlb_bench,custom,188540,899,0.48,0
4096,8,64,tlb_bench,baseline,0,0,0.00,0
4096,4,64,test,custom,NA,NA,NA,0
4096,4,64,test,baseline,NA,NA,NA,0
4096,4,64,multi,custom,NA,NA,NA,0
4096,4,64,multi,baseline,NA,NA,NA,0
4096,4,64,tlb_bench,custom,188540,899,0.48,0
4096,4,64,tlb_bench,baseline,0,0,0.00,0
16384,32,64,test,custom,NA,NA,NA,0
16384,32,64,test,baseline,NA,NA,NA,0
16384,32,64,multi,custom,NA,NA,NA,0
16384,32,64,multi,baseline,NA,NA,NA,0
16384,32,64,tlb_bench,custom,188540,211,0.11,0
16384,32,64,tlb_bench,baseline,0,0,0.00,0
16384,8,64,test,custom,NA,NA,NA,0
16384,8,64,test,baseline,NA,NA,NA,0
16384,8,64,multi,custom,NA,NA,NA,0
16384,8,64,multi,baseline,NA,NA,NA,0
16384,8,64,tlb_bench,custom,188540,227,0.12,0
16384,8,64,tlb_bench,baseline,0,0,0.00,0
16384,4,64,test,custom,NA,NA,NA,0
16384,4,64,test,baseline,NA,NA,NA,0
16384,4,64,multi,custom,NA,NA,NA,0
16384,4,64,multi,baseline,NA,NA,NA,0
16384,4,64,tlb_bench,custom,188540,227,0.12,0
16384,4,64,tlb_bench,baseline,0,0,0.00,0
65536,32,64,test,custom,NA,NA,NA,0
65536,32,64,test,baseline,NA,NA,NA,0
65536,32,64,multi,custom,NA,NA,NA,0
65536,32,64,multi,baseline,NA,NA,NA,0
65536,32,64,tlb_bench,custom,188540,23,0.01,0
65536,32,64,tlb_bench,baseline,0,0,0.00,0
65536,4,64,test,custom,NA,NA,NA,0
65536,4,64,test,baseline,NA,NA,NA,0
65536,4,64,multi,custom,NA,NA,NA,0
65536,4,64,multi,baseline,NA,NA,NA,0
65536,4,64,tlb_bench,custom,188540,55,0.03,0
65536,4,64,tlb_bench,baseline,0,0,0.00,0
4096,32,8,test,custom,NA,NA,NA,0
4096,32,8,test,baseline,NA,NA,NA,0
4096,32,8,multi,custom,NA,NA,NA,0
4096,32,8,multi,baseline,NA,NA,NA,0
4096,32,8,tlb_bench,custom,188540,899,0.48,0
4096,32,8,tlb_bench,baseline,0,0,0.00,0
